# Nutrients are per 100 g edible portion. Parenthesized calculated values in the source are stored as numbers.
# Source: The Concise ASEAN Food Composition Tables (2014), ASEANFOODS Regional Centre, Institute of Nutrition, Mahidol University.
foodCode;nameTh;nameEn;category;baseUnit;caloriesPer100;proteinPer100;carbohydratePer100;fatPer100;sourceName;sourceUrl
THT68;โจ๊กหมู;Rice porridge with minced pork;อาหารจานเดียว;g;57;1.6;6.9;2.6;ASEAN Food Composition Tables 2014;https://inmu.mahidol.ac.th/aseanfoods/doc/OnlineASEAN_FCD_V1_2014.pdf
THT50;ข้าวต้ม;Plain rice porridge;อาหารจานเดียว;g;59;4.1;8.9;0.8;ASEAN Food Composition Tables 2014;https://inmu.mahidol.ac.th/aseanfoods/doc/OnlineASEAN_FCD_V1_2014.pdf
THT65;ข้าวหมูทอด;Rice with seasoned fried pork;อาหารจานเดียว;g;144;7.7;21.1;3.2;ASEAN Food Composition Tables 2014;https://inmu.mahidol.ac.th/aseanfoods/doc/OnlineASEAN_FCD_V1_2014.pdf
THT51;ข้าวต้มหมู;Rice porridge with pork;อาหารจานเดียว;g;65;4.2;9.4;1.2;ASEAN Food Composition Tables 2014;https://inmu.mahidol.ac.th/aseanfoods/doc/OnlineASEAN_FCD_V1_2014.pdf
THT48;ข้าวขาหมู;Rice with pork leg and gravy;อาหารจานเดียว;g;161;7.2;19.3;5.9;ASEAN Food Composition Tables 2014;https://inmu.mahidol.ac.th/aseanfoods/doc/OnlineASEAN_FCD_V1_2014.pdf
THT54;ข้าวราดไก่ผัดกะเพรา;Rice with chicken and holy basil;อาหารจานเดียว;g;188;8.6;23.6;6.6;ASEAN Food Composition Tables 2014;https://inmu.mahidol.ac.th/aseanfoods/doc/OnlineASEAN_FCD_V1_2014.pdf
THT56;ข้าวผัดหมูใส่ไข่;Pork and egg fried rice;อาหารจานเดียว;g;151;5.9;16.7;6.7;ASEAN Food Composition Tables 2014;https://inmu.mahidol.ac.th/aseanfoods/doc/OnlineASEAN_FCD_V1_2014.pdf
THT44;ข้าวราดไข่พะโล้;Rice with five-spice egg;อาหารจานเดียว;g;181;5.7;25.2;6.4;ASEAN Food Composition Tables 2014;https://inmu.mahidol.ac.th/aseanfoods/doc/OnlineASEAN_FCD_V1_2014.pdf
THT39;ขนมจีนน้ำยา;Rice noodles with fermented fish curry;อาหารจานเดียว;g;82;2.7;13.0;2.1;ASEAN Food Composition Tables 2014;https://inmu.mahidol.ac.th/aseanfoods/doc/OnlineASEAN_FCD_V1_2014.pdf
THT123;เส้นใหญ่ลูกชิ้นเนื้อ น้ำ;Wide rice noodles with beef balls in soup;ก๋วยเตี๋ยว;g;61;4.6;9.0;0.7;ASEAN Food Composition Tables 2014;https://inmu.mahidol.ac.th/aseanfoods/doc/OnlineASEAN_FCD_V1_2014.pdf
THT127;เส้นใหญ่หมู น้ำ;Wide rice noodles with pork in soup;ก๋วยเตี๋ยว;g;75;7.1;2.8;3.6;ASEAN Food Composition Tables 2014;https://inmu.mahidol.ac.th/aseanfoods/doc/OnlineASEAN_FCD_V1_2014.pdf
